Name,Avg_TAT,Avg_WT,Avg_RT,Throughput,CPU_Util,Ctx_Switch
FCFS,6420.2,6054.6,427.95,0.002735229759299781,100.0,212
SJF (Non-Pre),4741.9,4376.3,1362.3,0.002735229759299781,100.0,212
SRTF (Preemptive),4733.05,4367.45,1231.2,0.002735229759299781,100.0,7312
Priority+RR (Q=4),4502.15,4136.55,2339.95,0.002735229759299781,100.0,7312
Round Robin (Q=5),5907.2,5541.6,48.1,0.002735229759299781,100.0,1537
Round Robin (Q=20),6160.95,5795.35,162.85,0.002735229759299781,100.0,484
Femto-Window AI,6298.65,5933.05,54.65,0.002735229759299781,100.0,337
