Name,Avg_TAT,Avg_WT,Avg_RT,Throughput,CPU_Util,Ctx_Switch
FCFS,131061.6575,130685.38,6389.1875,0.0026576130648258266,100.0,4019
SJF (Non-Pre),87627.685,87251.4075,36539.305,0.0026576130648258266,100.0,4019
SRTF (Preemptive),87627.835,87251.5575,36535.9625,0.0026576130648258266,100.0,150511
Priority+RR (Q=4),85804.2075,85427.93,60942.3475,0.0026576130648258266,100.0,150511
Round Robin (Q=5),123220.0675,122843.79,955.89,0.0026576130648258266,100.0,31611
Round Robin (Q=20),126203.285,125827.0075,2959.27,0.0026576130648258266,100.0,9499
Femto-Window AI,124245.985,123869.7075,1114.965,0.0026576130648258266,100.0,6594
