Name,Avg_TAT,Avg_WT,Avg_RT,Throughput,CPU_Util,Ctx_Switch
FCFS,32663.83,32288.74,1743.51,0.0026660268202298113,100.0,998
SJF (Non-Pre),21741.4,21366.31,9842.19,0.0026660268202298113,100.0,998
SRTF (Preemptive),21705.48,21330.39,9760.48,0.0026660268202298113,100.0,37509
Priority+RR (Q=4),21489.92,21114.83,15056.18,0.0026660268202298113,100.0,37509
Round Robin (Q=5),31086.51,30711.42,241.44,0.0026660268202298113,100.0,7877
Round Robin (Q=20),31739.7,31364.61,788.7,0.0026660268202298113,100.0,2360
Femto-Window AI,31187.01,30811.92,289.69,0.0026660268202298113,100.0,1614
