Name,Avg_TAT,Avg_WT,Avg_RT,Throughput,CPU_Util,Ctx_Switch
FCFS,3382.1,2986.6,152.5,0.0025284450063211127,100.0,97
SJF (Non-Pre),2340.1,1944.6,626.8,0.0025284450063211127,100.0,97
SRTF (Preemptive),2340.1,1944.6,607.2,0.0025284450063211127,100.0,3955
Priority+RR (Q=4),2346.6,1951.1,1351.2,0.0025284450063211127,100.0,3955
Round Robin (Q=5),3100.9,2705.4,21.8,0.0025284450063211127,100.0,828
Round Robin (Q=20),3170.9,2775.4,67.2,0.0025284450063211127,100.0,247
Femto-Window AI,3141.8,2746.3,22.3,0.0025284450063211127,100.0,173
