Name,Avg_TAT,Avg_WT,Avg_RT,Throughput,CPU_Util,Ctx_Switch
FCFS,67857.23,67468.26,3137.005,0.0025708923567370236,100.0,2004
SJF (Non-Pre),44665.495,44276.525,19473.65,0.0025708923567370236,100.0,2004
SRTF (Preemptive),44664.135,44275.165,19457.115,0.0025708923567370236,100.0,77794
Priority+RR (Q=4),43964.73,43575.76,30686.15,0.0025708923567370236,100.0,77794
Round Robin (Q=5),63876.96,63487.99,465.09,0.0025708923567370236,100.0,16280
Round Robin (Q=20),65319.97,64931.0,1446.18,0.0025708923567370236,100.0,4869
Femto-Window AI,64121.665,63732.695,533.015,0.0025708923567370236,100.0,3350
